 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
        1586405 ┊     74.56% ┊ table[0]
        1586399 ┊     74.56% ┊   ⤷ elem[0]
        1084391 ┊     50.97% ┊       ⤷ code[890]
        1083754 ┊     50.94% ┊           ⤷ code[895]
         254676 ┊     11.97% ┊               ⤷ code[1041]
         113626 ┊      5.34% ┊                   ⤷ code[4781]
           3237 ┊      0.15% ┊                       ⤷ code[4273]
           2405 ┊      0.11% ┊                           ⤷ code[4276]
            398 ┊      0.02% ┊                               ⤷ code[4277]
            397 ┊      0.02% ┊                               ⤷ code[4279]
             68 ┊      0.00% ┊                           ⤷ code[4275]
           3226 ┊      0.15% ┊                       ⤷ code[4617]
           2873 ┊      0.14% ┊                           ⤷ code[4619]
            956 ┊      0.04% ┊                               ⤷ code[4622]
            271 ┊      0.01% ┊                                   ⤷ code[4625]
            269 ┊      0.01% ┊                               ⤷ code[4620]
            142 ┊      0.01% ┊                               ⤷ code[4624]
            139 ┊      0.01% ┊                               ⤷ code[4623]
            126 ┊      0.01% ┊                               ⤷ code[4621]
           3187 ┊      0.15% ┊                       ⤷ code[4593]
           2815 ┊      0.13% ┊                           ⤷ code[4595]
            269 ┊      0.01% ┊                               ⤷ code[4597]
            268 ┊      0.01% ┊                               ⤷ code[4598]
            142 ┊      0.01% ┊                               ⤷ code[4601]
            139 ┊      0.01% ┊                               ⤷ code[4602]
            126 ┊      0.01% ┊                               ⤷ code[4600]
             19 ┊      0.00% ┊                           ⤷ code[4596]
           3088 ┊      0.15% ┊                       ⤷ code[2872]
            622 ┊      0.03% ┊                           ⤷ code[2873]
            459 ┊      0.02% ┊                               ⤷ code[2876]
            520 ┊      0.02% ┊                           ⤷ code[2788]
            518 ┊      0.02% ┊                           ⤷ code[2791]
            452 ┊      0.02% ┊                           ⤷ code[2790]
            222 ┊      0.01% ┊                           ⤷ code[2787]
           3040 ┊      0.14% ┊                       ⤷ code[2820]
            633 ┊      0.03% ┊                           ⤷ code[2821]
            470 ┊      0.02% ┊                               ⤷ code[2822]
            529 ┊      0.02% ┊                           ⤷ code[2708]
            525 ┊      0.02% ┊                           ⤷ code[2711]
            463 ┊      0.02% ┊                           ⤷ code[2710]
            221 ┊      0.01% ┊                           ⤷ code[2707]
           3034 ┊      0.14% ┊                       ⤷ code[2863]
            617 ┊      0.03% ┊                           ⤷ code[2864]
            454 ┊      0.02% ┊                               ⤷ code[2865]
            526 ┊      0.02% ┊                           ⤷ code[2778]
            525 ┊      0.02% ┊                           ⤷ code[2774]
            447 ┊      0.02% ┊                           ⤷ code[2777]
            221 ┊      0.01% ┊                           ⤷ code[2773]
           3011 ┊      0.14% ┊                       ⤷ code[2823]
            623 ┊      0.03% ┊                           ⤷ code[2824]
            460 ┊      0.02% ┊                               ⤷ code[2825]
            518 ┊      0.02% ┊                           ⤷ code[2716]
            517 ┊      0.02% ┊                           ⤷ code[2713]
            453 ┊      0.02% ┊                           ⤷ code[2715]
            221 ┊      0.01% ┊                           ⤷ code[2712]
           3004 ┊      0.14% ┊                       ⤷ code[2826]
            623 ┊      0.03% ┊                           ⤷ code[2827]
            460 ┊      0.02% ┊                               ⤷ code[2828]
            518 ┊      0.02% ┊                           ⤷ code[2721]
            517 ┊      0.02% ┊                           ⤷ code[2718]
            453 ┊      0.02% ┊                           ⤷ code[2720]
            221 ┊      0.01% ┊                           ⤷ code[2717]
           2998 ┊      0.14% ┊                       ⤷ code[2842]
            615 ┊      0.03% ┊                           ⤷ code[2843]
            452 ┊      0.02% ┊                               ⤷ code[2844]
            520 ┊      0.02% ┊                           ⤷ code[2749]
            516 ┊      0.02% ┊                           ⤷ code[2753]
            445 ┊      0.02% ┊                           ⤷ code[2752]
            222 ┊      0.01% ┊                           ⤷ code[2748]
           2984 ┊      0.14% ┊                       ⤷ code[2836]
            615 ┊      0.03% ┊                           ⤷ code[2837]
            452 ┊      0.02% ┊                               ⤷ code[2838]
            523 ┊      0.02% ┊                           ⤷ code[2737]
            517 ┊      0.02% ┊                           ⤷ code[2741]
            445 ┊      0.02% ┊                           ⤷ code[2740]
            221 ┊      0.01% ┊                           ⤷ code[2736]
           2939 ┊      0.14% ┊                       ⤷ code[4532]
           2798 ┊      0.13% ┊                           ⤷ code[4533]
           1554 ┊      0.07% ┊                               ⤷ code[4534]
             29 ┊      0.00% ┊                               ⤷ code[4535]
           2939 ┊      0.14% ┊                       ⤷ code[4541]
           2798 ┊      0.13% ┊                           ⤷ code[4542]
           1554 ┊      0.07% ┊                               ⤷ code[4543]
             29 ┊      0.00% ┊                               ⤷ code[4544]
           2203 ┊      0.10% ┊                       ⤷ code[4398]
            558 ┊      0.03% ┊                           ⤷ code[4399]
            318 ┊      0.01% ┊                           ⤷ code[4400]
            166 ┊      0.01% ┊                           ⤷ code[4401]
           2162 ┊      0.10% ┊                       ⤷ code[4366]
            471 ┊      0.02% ┊                           ⤷ code[4368]
            269 ┊      0.01% ┊                           ⤷ code[4369]
            104 ┊      0.00% ┊                           ⤷ code[4371]
           1836 ┊      0.09% ┊                       ⤷ code[4573]
           1462 ┊      0.07% ┊                           ⤷ code[4574]
            234 ┊      0.01% ┊                               ⤷ code[4576]
            133 ┊      0.01% ┊                               ⤷ code[4578]
           1720 ┊      0.08% ┊                       ⤷ code[4603]
           1367 ┊      0.06% ┊                           ⤷ code[4605]
            126 ┊      0.01% ┊                               ⤷ code[4608]
           1720 ┊      0.08% ┊                       ⤷ code[4614]
           1367 ┊      0.06% ┊                           ⤷ code[4615]
            126 ┊      0.01% ┊                               ⤷ code[4616]
            956 ┊      0.04% ┊                       ⤷ code[4609]
            271 ┊      0.01% ┊                           ⤷ code[4612]
            881 ┊      0.04% ┊                       ⤷ code[4291]
            817 ┊      0.04% ┊                       ⤷ code[4829]
            709 ┊      0.03% ┊                       ⤷ code[4405]
            682 ┊      0.03% ┊                       ⤷ code[2880]
            472 ┊      0.02% ┊                           ⤷ code[2795]
            642 ┊      0.03% ┊                       ⤷ code[2879]
            479 ┊      0.02% ┊                           ⤷ code[2885]
            546 ┊      0.03% ┊                       ⤷ code[2793]
