Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00028199490717197647,1586405,74.55968845202655
elem[0],864,0.04060726663276461,1586399,74.55940645711938
code[890],417,0.019598646048452364,1084391,50.96545656385446
code[895],42120,1.9796042483472749,1083754,50.93551810454303
code[1041],22952,1.0787245182352005,254676,11.969555829821713
code[4781],52717,2.4776542535641806,113626,5.3403255537205
code[928],9646,0.45335381243014755,105780,4.971570213441946
"export ""canister_query icydb_metrics""",32,0.0015039728382505414,81732,3.841334625496663
code[5301],9,0.0004229923607579647,81700,3.839830652658413
code[1265],15832,0.7440905617244553,81691,3.839407660297655
code[510],28722,1.3499096206322514,49033,2.304509380560587
code[384],2303,0.10823904520284364,46285,2.175355713075822
code[296],12311,0.5786065503657004,45007,2.115290797848191
code[1090],12096,0.5685017328587046,39783,1.8697672320037901
code[985],8810,0.41406252203085214,38460,1.8075873549723693
code[1023],17021,0.799972552495702,35739,1.6797026645698778
data[55],35178,1.653336140749298,35178,1.653336140749298
code[4779],25185,1.1836736228543712,33569,1.577714506476013
code[1559],15320,0.7200269963124466,33027,1.5522409665281445
code[399],15804,0.7427745854909861,29173,1.371106237821345
code[68],6455,0.30337952096585136,27127,1.2749459744757008
code[2152],19279,0.9060966358947558,25953,1.2197689709723842
code[447],10211,0.4799083328555086,22972,1.0796645012591073
code[1015],12534,0.5890873610822588,22618,1.0630268017359608
code[1071],6515,0.30619947003757114,21495,1.0102467549436058
code[1014],13005,0.611223961295259,21402,1.00587583388244
code[4952],4892,0.2299198476475515,20146,0.9468448999811063
code[502],14618,0.6870335921733253,18369,0.8633274083070059
code[4740],2756,0.12952966069432786,17638,0.8289710287832202
code[406],12083,0.5678907438931653,16514,0.7761439828396699
code[1406],1763,0.08285950355736575,16388,0.7702220897890584
"export ""get_candid_pointer""",22,0.001033981326297247,16200,0.7613862493643365
code[5303],9,0.0004229923607579647,16178,0.7603522680380392
code[1330],2391,0.11237497050803262,16169,0.7599292756772813
code[82],3273,0.15382822186231318,15959,0.750059453926262
code[4377],3216,0.1511492702441794,15005,0.7052222636859179
code[81],3051,0.14339441029695005,14444,0.678855739865338
data[0],14158,0.6654139826234738,14158,0.6654139826234738
code[987],2979,0.14001047141088632,13968,0.6564841438963612
code[3507],12853,0.6040800903135689,13772,0.6472723102620767
