 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────
         52717 ┊     2.48% ┊ code[4781]
         42120 ┊     1.98% ┊ code[895]
         35178 ┊     1.65% ┊ data[55]
         28722 ┊     1.35% ┊ code[510]
         25185 ┊     1.18% ┊ code[4779]
         22952 ┊     1.08% ┊ code[1041]
         19279 ┊     0.91% ┊ code[2152]
         17021 ┊     0.80% ┊ code[1023]
         15832 ┊     0.74% ┊ code[1265]
         15804 ┊     0.74% ┊ code[399]
         15320 ┊     0.72% ┊ code[1559]
         14618 ┊     0.69% ┊ code[502]
         14158 ┊     0.67% ┊ data[0]
         13005 ┊     0.61% ┊ code[1014]
         12853 ┊     0.60% ┊ code[3507]
         12534 ┊     0.59% ┊ code[1015]
         12311 ┊     0.58% ┊ code[296]
         12096 ┊     0.57% ┊ code[1090]
         12083 ┊     0.57% ┊ code[406]
         10211 ┊     0.48% ┊ code[447]
          9646 ┊     0.45% ┊ code[928]
          9019 ┊     0.42% ┊ code[4507]
          8810 ┊     0.41% ┊ code[985]
          8360 ┊     0.39% ┊ code[1117]
          7906 ┊     0.37% ┊ code[2925]
          6680 ┊     0.31% ┊ code[1270]
          6626 ┊     0.31% ┊ code[575]
          6608 ┊     0.31% ┊ code[3517]
          6515 ┊     0.31% ┊ code[1071]
          6455 ┊     0.30% ┊ code[68]
          6374 ┊     0.30% ┊ code[359]
          6204 ┊     0.29% ┊ code[451]
          5920 ┊     0.28% ┊ code[3487]
          5852 ┊     0.28% ┊ code[19]
          5786 ┊     0.27% ┊ code[1076]
          5672 ┊     0.27% ┊ code[4745]
          5573 ┊     0.26% ┊ code[764]
          5277 ┊     0.25% ┊ code[500]
          5250 ┊     0.25% ┊ code[3915]
          5231 ┊     0.25% ┊ data[29]
       1589935 ┊    74.73% ┊ ... and 5658 more.
       2127698 ┊   100.00% ┊ Σ [5698 Total Rows]
