 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
        1060138 ┊     35.67% ┊ table[0]
        1060132 ┊     35.67% ┊   ⤷ elem[0]
         946964 ┊     31.86% ┊       ⤷ code[1302]
         946659 ┊     31.85% ┊           ⤷ code[1306]
         237354 ┊      7.99% ┊               ⤷ code[1805]
         113680 ┊      3.83% ┊                   ⤷ code[6955]
           3239 ┊      0.11% ┊                       ⤷ code[5790]
           2407 ┊      0.08% ┊                           ⤷ code[5793]
            398 ┊      0.01% ┊                               ⤷ code[5794]
            397 ┊      0.01% ┊                               ⤷ code[5796]
             68 ┊      0.00% ┊                           ⤷ code[5792]
           3226 ┊      0.11% ┊                       ⤷ code[6566]
           2873 ┊      0.10% ┊                           ⤷ code[6568]
            956 ┊      0.03% ┊                               ⤷ code[6571]
            271 ┊      0.01% ┊                                   ⤷ code[6574]
            269 ┊      0.01% ┊                               ⤷ code[6569]
            142 ┊      0.00% ┊                               ⤷ code[6573]
            139 ┊      0.00% ┊                               ⤷ code[6572]
            126 ┊      0.00% ┊                               ⤷ code[6570]
           3187 ┊      0.11% ┊                       ⤷ code[6542]
           2815 ┊      0.09% ┊                           ⤷ code[6544]
            269 ┊      0.01% ┊                               ⤷ code[6546]
            268 ┊      0.01% ┊                               ⤷ code[6547]
            142 ┊      0.00% ┊                               ⤷ code[6550]
            139 ┊      0.00% ┊                               ⤷ code[6551]
            126 ┊      0.00% ┊                               ⤷ code[6549]
             19 ┊      0.00% ┊                           ⤷ code[6545]
           3084 ┊      0.10% ┊                       ⤷ code[3949]
            621 ┊      0.02% ┊                           ⤷ code[3950]
            458 ┊      0.02% ┊                               ⤷ code[3953]
            520 ┊      0.02% ┊                           ⤷ code[3865]
            518 ┊      0.02% ┊                           ⤷ code[3868]
            451 ┊      0.02% ┊                           ⤷ code[3867]
            222 ┊      0.01% ┊                           ⤷ code[3864]
           3038 ┊      0.10% ┊                       ⤷ code[3897]
            632 ┊      0.02% ┊                           ⤷ code[3898]
            469 ┊      0.02% ┊                               ⤷ code[3899]
            529 ┊      0.02% ┊                           ⤷ code[3784]
            525 ┊      0.02% ┊                           ⤷ code[3787]
            462 ┊      0.02% ┊                           ⤷ code[3786]
            221 ┊      0.01% ┊                           ⤷ code[3783]
           3032 ┊      0.10% ┊                       ⤷ code[3940]
            616 ┊      0.02% ┊                           ⤷ code[3941]
            453 ┊      0.02% ┊                               ⤷ code[3942]
            526 ┊      0.02% ┊                           ⤷ code[3855]
            525 ┊      0.02% ┊                           ⤷ code[3851]
            446 ┊      0.02% ┊                           ⤷ code[3854]
            221 ┊      0.01% ┊                           ⤷ code[3850]
           3009 ┊      0.10% ┊                       ⤷ code[3900]
            622 ┊      0.02% ┊                           ⤷ code[3901]
            459 ┊      0.02% ┊                               ⤷ code[3902]
            518 ┊      0.02% ┊                           ⤷ code[3792]
            517 ┊      0.02% ┊                           ⤷ code[3789]
            452 ┊      0.02% ┊                           ⤷ code[3791]
            221 ┊      0.01% ┊                           ⤷ code[3788]
           3002 ┊      0.10% ┊                       ⤷ code[3903]
            622 ┊      0.02% ┊                           ⤷ code[3904]
            459 ┊      0.02% ┊                               ⤷ code[3905]
            518 ┊      0.02% ┊                           ⤷ code[3797]
            517 ┊      0.02% ┊                           ⤷ code[3794]
            452 ┊      0.02% ┊                           ⤷ code[3796]
            221 ┊      0.01% ┊                           ⤷ code[3793]
           2996 ┊      0.10% ┊                       ⤷ code[3919]
            614 ┊      0.02% ┊                           ⤷ code[3920]
            451 ┊      0.02% ┊                               ⤷ code[3921]
            520 ┊      0.02% ┊                           ⤷ code[3826]
            516 ┊      0.02% ┊                           ⤷ code[3830]
            444 ┊      0.01% ┊                           ⤷ code[3829]
            222 ┊      0.01% ┊                           ⤷ code[3825]
           2982 ┊      0.10% ┊                       ⤷ code[3913]
            614 ┊      0.02% ┊                           ⤷ code[3914]
            451 ┊      0.02% ┊                               ⤷ code[3915]
            523 ┊      0.02% ┊                           ⤷ code[3814]
            517 ┊      0.02% ┊                           ⤷ code[3818]
            444 ┊      0.01% ┊                           ⤷ code[3817]
            221 ┊      0.01% ┊                           ⤷ code[3813]
           2940 ┊      0.10% ┊                       ⤷ code[6454]
           2798 ┊      0.09% ┊                           ⤷ code[6455]
           1554 ┊      0.05% ┊                               ⤷ code[6456]
             29 ┊      0.00% ┊                               ⤷ code[6457]
           2940 ┊      0.10% ┊                       ⤷ code[6463]
           2798 ┊      0.09% ┊                           ⤷ code[6464]
           1554 ┊      0.05% ┊                               ⤷ code[6465]
             29 ┊      0.00% ┊                               ⤷ code[6466]
           2209 ┊      0.07% ┊                       ⤷ code[5919]
            560 ┊      0.02% ┊                           ⤷ code[5920]
            318 ┊      0.01% ┊                           ⤷ code[5921]
            168 ┊      0.01% ┊                           ⤷ code[5922]
           2167 ┊      0.07% ┊                       ⤷ code[5889]
            473 ┊      0.02% ┊                           ⤷ code[5891]
            269 ┊      0.01% ┊                           ⤷ code[5892]
            105 ┊      0.00% ┊                           ⤷ code[5894]
           1836 ┊      0.06% ┊                       ⤷ code[6522]
           1462 ┊      0.05% ┊                           ⤷ code[6523]
            234 ┊      0.01% ┊                               ⤷ code[6525]
            133 ┊      0.00% ┊                               ⤷ code[6527]
           1720 ┊      0.06% ┊                       ⤷ code[6552]
           1367 ┊      0.05% ┊                           ⤷ code[6554]
            126 ┊      0.00% ┊                               ⤷ code[6557]
           1720 ┊      0.06% ┊                       ⤷ code[6563]
           1367 ┊      0.05% ┊                           ⤷ code[6564]
            126 ┊      0.00% ┊                               ⤷ code[6565]
            956 ┊      0.03% ┊                       ⤷ code[6558]
            271 ┊      0.01% ┊                           ⤷ code[6561]
            882 ┊      0.03% ┊                       ⤷ code[5808]
            820 ┊      0.03% ┊                       ⤷ code[7002]
            710 ┊      0.02% ┊                       ⤷ code[5926]
            681 ┊      0.02% ┊                       ⤷ code[3957]
            471 ┊      0.02% ┊                           ⤷ code[3872]
            641 ┊      0.02% ┊                       ⤷ code[3956]
            478 ┊      0.02% ┊                           ⤷ code[3962]
            546 ┊      0.02% ┊                       ⤷ code[3870]
            542 ┊      0.02% ┊                       ⤷ code[3873]
            463 ┊      0.02% ┊                       ⤷ code[3954]
            461 ┊      0.02% ┊                       ⤷ code[6927]
            448 ┊      0.02% ┊                       ⤷ code[3963]
            425 ┊      0.01% ┊                       ⤷ code[5755]
            171 ┊      0.01% ┊                           ⤷ code[5756]
            399 ┊      0.01% ┊                       ⤷ code[7006]
            366 ┊      0.01% ┊                       ⤷ code[7000]
            351 ┊      0.01% ┊                       ⤷ code[5577]
            346 ┊      0.01% ┊                       ⤷ code[7005]
            269 ┊      0.01% ┊                       ⤷ code[6556]
            266 ┊      0.01% ┊                       ⤷ code[6462]
            240 ┊      0.01% ┊                       ⤷ code[5887]
            222 ┊      0.01% ┊                       ⤷ code[3869]
            213 ┊      0.01% ┊                       ⤷ code[5565]
            212 ┊      0.01% ┊                       ⤷ code[6526]
            209 ┊      0.01% ┊                       ⤷ code[5578]
            196 ┊      0.01% ┊                       ⤷ code[6458]
            182 ┊      0.01% ┊                       ⤷ code[3878]
            178 ┊      0.01% ┊                       ⤷ code[3955]
            169 ┊      0.01% ┊                       ⤷ code[6548]
            169 ┊      0.01% ┊                       ⤷ code[6562]
            169 ┊      0.01% ┊                       ⤷ code[6575]
            159 ┊      0.01% ┊                       ⤷ code[6044]
            159 ┊      0.01% ┊                       ⤷ code[6999]
            155 ┊      0.01% ┊                       ⤷ code[5604]
            151 ┊      0.01% ┊                       ⤷ code[6543]
            142 ┊      0.00% ┊                       ⤷ code[6560]
            139 ┊      0.00% ┊                       ⤷ code[6559]
            133 ┊      0.00% ┊                       ⤷ code[5883]
            131 ┊      0.00% ┊                       ⤷ code[6459]
            121 ┊      0.00% ┊                       ⤷ code[6644]
            119 ┊      0.00% ┊                       ⤷ code[3951]
            119 ┊      0.00% ┊                       ⤷ code[3960]
            107 ┊      0.00% ┊                       ⤷ code[6553]
            100 ┊      0.00% ┊                       ⤷ code[7004]
             93 ┊      0.00% ┊                       ⤷ code[5757]
             85 ┊      0.00% ┊                       ⤷ code[5927]
             83 ┊      0.00% ┊                       ⤷ code[5566]
             80 ┊      0.00% ┊                       ⤷ code[6027]
             78 ┊      0.00% ┊                       ⤷ code[3958]
             78 ┊      0.00% ┊                       ⤷ code[6461]
             77 ┊      0.00% ┊                       ⤷ code[3879]
             75 ┊      0.00% ┊                       ⤷ code[6998]
             71 ┊      0.00% ┊                       ⤷ code[6567]
             67 ┊      0.00% ┊                       ⤷ code[3959]
             63 ┊      0.00% ┊                       ⤷ code[5799]
             60 ┊      0.00% ┊                       ⤷ code[5762]
         146886 ┊      4.94% ┊ [147 Unreachable Items]
