 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────
         52754 ┊     1.78% ┊ code[6955]
         42067 ┊     1.42% ┊ code[1306]
         36010 ┊     1.21% ┊ data[80]
         27462 ┊     0.92% ┊ code[754]
         25638 ┊     0.86% ┊ code[1308]
         25203 ┊     0.85% ┊ code[6953]
         21014 ┊     0.71% ┊ code[1805]
         19355 ┊     0.65% ┊ code[5209]
         19292 ┊     0.65% ┊ code[2993]
         17447 ┊     0.59% ┊ data[72]
         17010 ┊     0.57% ┊ code[1787]
         16719 ┊     0.56% ┊ data[0]
         16169 ┊     0.54% ┊ code[643]
         15971 ┊     0.54% ┊ code[5621]
         15204 ┊     0.51% ┊ code[2343]
         14982 ┊     0.50% ┊ code[746]
         14091 ┊     0.47% ┊ code[1507]
         13979 ┊     0.47% ┊ code[1095]
         13976 ┊     0.47% ┊ code[7054]
         13028 ┊     0.44% ┊ code[4620]
         12849 ┊     0.43% ┊ code[4793]
         12535 ┊     0.42% ┊ code[1777]
         12113 ┊     0.41% ┊ code[650]
         12106 ┊     0.41% ┊ code[1853]
         12040 ┊     0.41% ┊ code[540]
         11810 ┊     0.40% ┊ code[1481]
         11275 ┊     0.38% ┊ code[1120]
         11008 ┊     0.37% ┊ code[6215]
         10659 ┊     0.36% ┊ code[5707]
         10218 ┊     0.34% ┊ code[691]
          9852 ┊     0.33% ┊ code[4523]
          9655 ┊     0.32% ┊ code[1696]
          9573 ┊     0.32% ┊ code[1478]
          9025 ┊     0.30% ┊ code[6407]
          8359 ┊     0.28% ┊ code[1879]
          8299 ┊     0.28% ┊ code[1564]
          7894 ┊     0.27% ┊ code[2064]
          7700 ┊     0.26% ┊ code[2049]
          7689 ┊     0.26% ┊ data[43]
          7674 ┊     0.26% ┊ code[586]
       2332196 ┊    78.47% ┊ ... and 7993 more.
       2971900 ┊   100.00% ┊ Σ [8033 Total Rows]
