Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
"export ""canister_query query_one_entity_sql""",39,0.0011864027295780542,1125250,34.23076080660783
code[8246],9,0.00027378524528724334,1125211,34.22957440387826
code[2365],10295,0.31317990002579665,1125202,34.229300618632976
code[1594],25849,0.7863416450477725,1101334,33.5032221481312
table[0],6,0.0001825234968581622,1056939,32.15270037429485
elem[0],1006,0.030603106306551865,1056933,32.15251785079799
code[1426],285,0.008669866100762706,939952,28.593887653137212
code[1430],42134,1.2817408361036344,939647,28.58460937538026
code[2087],22958,0.698395740144948,230270,7.004947603588168
code[1432],142,0.004319722758976506,149478,4.547207877227395
code[1173],37108,1.1288469869021138,149295,4.541640910573221
code[1639],25519,0.7763028527205735,124062,3.77403834453622
code[7598],52689,1.6028300876599515,113600,3.4557782071812047
code[1977],9646,0.29343694178230545,105877,3.22084004614194
code[1566],989,0.030085956398787073,89847,2.73319810370255
code[1524],7277,0.22137058110614105,88791,2.701073968255513
code[1642],9487,0.28860006911556413,85832,2.61105946372163
code[1549],1463,0.044505312650581885,79996,2.4335249424442575
code[6828],27772,0.8448404257908135,78511,2.388350376971862
code[6825],1597,0.04858167074708084,58343,1.7748280628659594
code[6835],510,0.015514497232943788,53344,1.6227555694003009
code[6994],1326,0.040337692805653844,52834,1.6072410721673571
code[808],28033,0.8527801979041435,48246,1.4676714382364822
code[1209],11011,0.33496103731753735,45385,1.3806381508179486
code[683],2303,0.07005860221072459,44351,1.3491832681927254
code[2134],12096,0.36796736966605503,39783,1.2102220459180446
code[1595],1091,0.03318885584537583,36168,1.1002516390610018
data[63],36006,1.0953235046458314,36006,1.0953235046458314
code[2069],17021,0.5177887400037965,35754,1.0876575177777885
code[6713],11538,0.3509926844582459,34805,1.0587883846913893
code[7596],25186,0.7661727986449455,33570,1.0212189649214176
code[7714],7072,0.21513436163015384,33359,1.0148002219485721
code[7005],11317,0.3442697356573036,32295,0.982432721839058
code[578],12032,0.3660204523662346,32253,0.981155057361051
code[698],15805,0.48079731130720893,29106,0.8854214832589448
code[7345],597,0.01816108793738714,27551,0.8381174769898713
code[2979],19279,0.5864784159880848,25953,0.7895053856599806
code[7074],955,0.029051656583257486,25820,0.7854594481462914
code[1673],1690,0.05141078494838235,24438,0.7434182027032946
code[6352],3259,0.09914067937679177,23667,0.7199639333570209
