 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
        1108580 ┊     52.35% ┊ table[0]
        1108574 ┊     52.35% ┊   ⤷ elem[0]
         991512 ┊     46.82% ┊       ⤷ code[1030]
         991207 ┊     46.81% ┊           ⤷ code[1034]
         251707 ┊     11.89% ┊               ⤷ code[1241]
         113632 ┊      5.37% ┊                   ⤷ code[4690]
           3237 ┊      0.15% ┊                       ⤷ code[4172]
           2405 ┊      0.11% ┊                           ⤷ code[4175]
            398 ┊      0.02% ┊                               ⤷ code[4176]
            397 ┊      0.02% ┊                               ⤷ code[4178]
             68 ┊      0.00% ┊                           ⤷ code[4174]
           3226 ┊      0.15% ┊                       ⤷ code[4519]
           2873 ┊      0.14% ┊                           ⤷ code[4521]
            956 ┊      0.05% ┊                               ⤷ code[4524]
            271 ┊      0.01% ┊                                   ⤷ code[4527]
            269 ┊      0.01% ┊                               ⤷ code[4522]
            142 ┊      0.01% ┊                               ⤷ code[4526]
            139 ┊      0.01% ┊                               ⤷ code[4525]
            126 ┊      0.01% ┊                               ⤷ code[4523]
           3187 ┊      0.15% ┊                       ⤷ code[4495]
           2815 ┊      0.13% ┊                           ⤷ code[4497]
            269 ┊      0.01% ┊                               ⤷ code[4499]
            268 ┊      0.01% ┊                               ⤷ code[4500]
            142 ┊      0.01% ┊                               ⤷ code[4503]
            139 ┊      0.01% ┊                               ⤷ code[4504]
            126 ┊      0.01% ┊                               ⤷ code[4502]
             19 ┊      0.00% ┊                           ⤷ code[4498]
           3088 ┊      0.15% ┊                       ⤷ code[2771]
            622 ┊      0.03% ┊                           ⤷ code[2772]
            459 ┊      0.02% ┊                               ⤷ code[2775]
            520 ┊      0.02% ┊                           ⤷ code[2690]
            518 ┊      0.02% ┊                           ⤷ code[2693]
            452 ┊      0.02% ┊                           ⤷ code[2692]
            222 ┊      0.01% ┊                           ⤷ code[2689]
           3040 ┊      0.14% ┊                       ⤷ code[2719]
            633 ┊      0.03% ┊                           ⤷ code[2720]
            470 ┊      0.02% ┊                               ⤷ code[2721]
            529 ┊      0.02% ┊                           ⤷ code[2610]
            525 ┊      0.02% ┊                           ⤷ code[2613]
            463 ┊      0.02% ┊                           ⤷ code[2612]
            221 ┊      0.01% ┊                           ⤷ code[2609]
           3034 ┊      0.14% ┊                       ⤷ code[2762]
            617 ┊      0.03% ┊                           ⤷ code[2763]
            454 ┊      0.02% ┊                               ⤷ code[2764]
            526 ┊      0.02% ┊                           ⤷ code[2680]
            525 ┊      0.02% ┊                           ⤷ code[2676]
            447 ┊      0.02% ┊                           ⤷ code[2679]
            221 ┊      0.01% ┊                           ⤷ code[2675]
           3011 ┊      0.14% ┊                       ⤷ code[2722]
            623 ┊      0.03% ┊                           ⤷ code[2723]
            460 ┊      0.02% ┊                               ⤷ code[2724]
            518 ┊      0.02% ┊                           ⤷ code[2618]
            517 ┊      0.02% ┊                           ⤷ code[2615]
            453 ┊      0.02% ┊                           ⤷ code[2617]
            221 ┊      0.01% ┊                           ⤷ code[2614]
           3004 ┊      0.14% ┊                       ⤷ code[2725]
            623 ┊      0.03% ┊                           ⤷ code[2726]
            460 ┊      0.02% ┊                               ⤷ code[2727]
            518 ┊      0.02% ┊                           ⤷ code[2623]
            517 ┊      0.02% ┊                           ⤷ code[2620]
            453 ┊      0.02% ┊                           ⤷ code[2622]
            221 ┊      0.01% ┊                           ⤷ code[2619]
           2998 ┊      0.14% ┊                       ⤷ code[2741]
            615 ┊      0.03% ┊                           ⤷ code[2742]
            452 ┊      0.02% ┊                               ⤷ code[2743]
            520 ┊      0.02% ┊                           ⤷ code[2651]
            516 ┊      0.02% ┊                           ⤷ code[2655]
            445 ┊      0.02% ┊                           ⤷ code[2654]
            222 ┊      0.01% ┊                           ⤷ code[2650]
           2984 ┊      0.14% ┊                       ⤷ code[2735]
            615 ┊      0.03% ┊                           ⤷ code[2736]
            452 ┊      0.02% ┊                               ⤷ code[2737]
            523 ┊      0.02% ┊                           ⤷ code[2639]
            517 ┊      0.02% ┊                           ⤷ code[2643]
            445 ┊      0.02% ┊                           ⤷ code[2642]
            221 ┊      0.01% ┊                           ⤷ code[2638]
           2939 ┊      0.14% ┊                       ⤷ code[4434]
           2798 ┊      0.13% ┊                           ⤷ code[4435]
           1554 ┊      0.07% ┊                               ⤷ code[4436]
             29 ┊      0.00% ┊                               ⤷ code[4437]
           2939 ┊      0.14% ┊                       ⤷ code[4443]
           2798 ┊      0.13% ┊                           ⤷ code[4444]
           1554 ┊      0.07% ┊                               ⤷ code[4445]
             29 ┊      0.00% ┊                               ⤷ code[4446]
           2204 ┊      0.10% ┊                       ⤷ code[4296]
            558 ┊      0.03% ┊                           ⤷ code[4297]
            318 ┊      0.02% ┊                           ⤷ code[4298]
            167 ┊      0.01% ┊                           ⤷ code[4299]
           2162 ┊      0.10% ┊                       ⤷ code[4265]
            471 ┊      0.02% ┊                           ⤷ code[4267]
            269 ┊      0.01% ┊                           ⤷ code[4268]
            104 ┊      0.00% ┊                           ⤷ code[4270]
           1836 ┊      0.09% ┊                       ⤷ code[4475]
           1462 ┊      0.07% ┊                           ⤷ code[4476]
            234 ┊      0.01% ┊                               ⤷ code[4478]
            133 ┊      0.01% ┊                               ⤷ code[4480]
           1720 ┊      0.08% ┊                       ⤷ code[4505]
           1367 ┊      0.06% ┊                           ⤷ code[4507]
            126 ┊      0.01% ┊                               ⤷ code[4510]
           1720 ┊      0.08% ┊                       ⤷ code[4516]
           1367 ┊      0.06% ┊                           ⤷ code[4517]
            126 ┊      0.01% ┊                               ⤷ code[4518]
            956 ┊      0.05% ┊                       ⤷ code[4511]
            271 ┊      0.01% ┊                           ⤷ code[4514]
            881 ┊      0.04% ┊                       ⤷ code[4190]
            817 ┊      0.04% ┊                       ⤷ code[4738]
            709 ┊      0.03% ┊                       ⤷ code[4303]
            682 ┊      0.03% ┊                       ⤷ code[2779]
            472 ┊      0.02% ┊                           ⤷ code[2697]
            642 ┊      0.03% ┊                       ⤷ code[2778]
            479 ┊      0.02% ┊                           ⤷ code[2784]
            546 ┊      0.03% ┊                       ⤷ code[2695]
            542 ┊      0.03% ┊                       ⤷ code[2698]
            464 ┊      0.02% ┊                       ⤷ code[2776]
            463 ┊      0.02% ┊                       ⤷ code[4662]
            448 ┊      0.02% ┊                       ⤷ code[2785]
            425 ┊      0.02% ┊                       ⤷ code[4159]
            171 ┊      0.01% ┊                           ⤷ code[4160]
            398 ┊      0.02% ┊                       ⤷ code[4742]
            368 ┊      0.02% ┊                       ⤷ code[4736]
            351 ┊      0.02% ┊                       ⤷ code[4090]
            344 ┊      0.02% ┊                       ⤷ code[4741]
            269 ┊      0.01% ┊                       ⤷ code[4509]
            266 ┊      0.01% ┊                       ⤷ code[4442]
            240 ┊      0.01% ┊                       ⤷ code[4263]
            222 ┊      0.01% ┊                       ⤷ code[2694]
            213 ┊      0.01% ┊                       ⤷ code[4074]
            212 ┊      0.01% ┊                       ⤷ code[4479]
            209 ┊      0.01% ┊                       ⤷ code[4091]
            196 ┊      0.01% ┊                       ⤷ code[4438]
            183 ┊      0.01% ┊                       ⤷ code[2702]
            178 ┊      0.01% ┊                       ⤷ code[2777]
            169 ┊      0.01% ┊                       ⤷ code[4501]
            169 ┊      0.01% ┊                       ⤷ code[4515]
            169 ┊      0.01% ┊                       ⤷ code[4528]
            159 ┊      0.01% ┊                       ⤷ code[4362]
            159 ┊      0.01% ┊                       ⤷ code[4735]
            155 ┊      0.01% ┊                       ⤷ code[4110]
            151 ┊      0.01% ┊                       ⤷ code[4496]
            142 ┊      0.01% ┊                       ⤷ code[4513]
            139 ┊      0.01% ┊                       ⤷ code[4512]
            133 ┊      0.01% ┊                       ⤷ code[4260]
            131 ┊      0.01% ┊                       ⤷ code[4439]
            121 ┊      0.01% ┊                       ⤷ code[4595]
            119 ┊      0.01% ┊                       ⤷ code[2773]
            119 ┊      0.01% ┊                       ⤷ code[2782]
            107 ┊      0.01% ┊                       ⤷ code[4506]
            100 ┊      0.00% ┊                       ⤷ code[4740]
             93 ┊      0.00% ┊                       ⤷ code[4161]
             85 ┊      0.00% ┊                       ⤷ code[4304]
             83 ┊      0.00% ┊                       ⤷ code[4075]
             80 ┊      0.00% ┊                       ⤷ code[4347]
             79 ┊      0.00% ┊                       ⤷ code[2780]
             78 ┊      0.00% ┊                       ⤷ code[4441]
             77 ┊      0.00% ┊                       ⤷ code[2703]
             75 ┊      0.00% ┊                       ⤷ code[4734]
             71 ┊      0.00% ┊                       ⤷ code[4520]
             67 ┊      0.00% ┊                       ⤷ code[2781]
             63 ┊      0.00% ┊                       ⤷ code[4181]
             60 ┊      0.00% ┊                       ⤷ code[4165]
          98190 ┊      4.64% ┊ [108 Unreachable Items]
