Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00028335287681092005,1108580,52.35322202917496
elem[0],684,0.032302227956444884,1108574,52.352938676298145
code[1030],285,0.0134592616485187,991512,46.82462959875816
code[1034],42010,1.983942392471125,991207,46.81022582752027
code[1241],22953,1.0839664302401746,251707,11.886983760574376
code[4690],52703,2.488924444427653,113632,5.366325682963078
"export ""canister_query query_one_entity_typed_rows""",46,0.002172372055550387,108310,5.114991681231792
code[5216],9,0.00042502931521638007,108264,5.112819309176241
code[1455],1758,0.08302239290559957,108255,5.112394279861024
code[1133],9646,0.4555369749530224,105647,4.9892302294072115
code[102],28536,1.3476262821127356,97660,4.6120403248924084
code[672],28722,1.3564102212938742,49033,2.315606934778307
code[471],12157,0.5741201538983924,45491,2.148334286500927
code[556],2303,0.10876027921592482,45161,2.132749878276327
code[1287],12096,0.5712393996508148,39783,1.8787712496948055
code[1223],17021,0.8038248860331116,35726,1.687177479491155
data[39],35186,1.661675720578172,35186,1.661675720578172
code[4688],25186,1.1894209258933053,33570,1.5853593457570976
code[108],14595,0.689255872842563,30034,1.4183700503565286
code[571],15804,0.7463514775199633,29127,1.3755365404786113
code[2019],19279,0.9104600186729546,25953,1.2256428686456347
code[612],10212,0.48226659633218594,22974,1.0849581653090128
code[1215],12516,0.5910741010275792,22737,1.0737657266749814
code[1270],6515,0.30767399873719065,21495,1.015111681175121
code[1214],13005,0.6141673604876692,21383,1.0098224274746506
code[4863],4892,0.23102704555983683,20146,0.9514045093721325
code[664],14617,0.6902948333908697,18368,0.8674376068771632
code[234],1048,0.04949230248297404,18233,0.8610621671489176
code[1098],2748,0.1297756175794014,17611,0.8316879189195189
code[578],12083,0.5706254684177244,16514,0.7798815679425889
code[1535],1763,0.08325852030294201,16388,0.7739311575295597
code[87],3273,0.15456899430035687,15829,0.7475321145066756
code[4276],3216,0.15187714197065313,14947,0.7058792416154703
"export ""get_candid_pointer""",22,0.001038960548306707,14625,0.6906726372266176
code[5217],9,0.00042502931521638007,14603,0.6896336766783109
code[1460],2251,0.1063045542835635,14594,0.6892086473630945
code[86],3051,0.14408493785835283,14444,0.6821248254428215
code[3394],12853,0.6069890876084593,13772,0.6503893032399984
code[1188],2979,0.14068470333662178,13670,0.6455723043342129
data[0],12652,0.5974967662352935,12652,0.5974967662352935
