 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────
         52703 ┊     2.49% ┊ code[4690]
         42010 ┊     1.98% ┊ code[1034]
         35186 ┊     1.66% ┊ data[39]
         28722 ┊     1.36% ┊ code[672]
         28536 ┊     1.35% ┊ code[102]
         25186 ┊     1.19% ┊ code[4688]
         22953 ┊     1.08% ┊ code[1241]
         19279 ┊     0.91% ┊ code[2019]
         17021 ┊     0.80% ┊ code[1223]
         15804 ┊     0.75% ┊ code[571]
         14617 ┊     0.69% ┊ code[664]
         14595 ┊     0.69% ┊ code[108]
         13005 ┊     0.61% ┊ code[1214]
         12853 ┊     0.61% ┊ code[3394]
         12652 ┊     0.60% ┊ data[0]
         12516 ┊     0.59% ┊ code[1215]
         12157 ┊     0.57% ┊ code[471]
         12096 ┊     0.57% ┊ code[1287]
         12083 ┊     0.57% ┊ code[578]
         10212 ┊     0.48% ┊ code[612]
          9729 ┊     0.46% ┊ code[2395]
          9646 ┊     0.46% ┊ code[1133]
          9015 ┊     0.43% ┊ code[4409]
          8360 ┊     0.39% ┊ code[1314]
          7620 ┊     0.36% ┊ code[2823]
          6626 ┊     0.31% ┊ code[738]
          6612 ┊     0.31% ┊ code[3402]
          6515 ┊     0.31% ┊ code[1270]
          6374 ┊     0.30% ┊ code[531]
          6205 ┊     0.29% ┊ code[615]
          5920 ┊     0.28% ┊ code[3374]
          5852 ┊     0.28% ┊ code[24]
          5786 ┊     0.27% ┊ code[1273]
          5672 ┊     0.27% ┊ code[4654]
          5573 ┊     0.26% ┊ code[924]
          5277 ┊     0.25% ┊ code[662]
          5250 ┊     0.25% ┊ code[3797]
          5231 ┊     0.25% ┊ data[13]
          5228 ┊     0.25% ┊ code[1520]
          5133 ┊     0.24% ┊ code[1208]
       1571691 ┊    74.22% ┊ ... and 5554 more.
       2117501 ┊   100.00% ┊ Σ [5594 Total Rows]
