 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
         685188 ┊     17.86% ┊ table[0]
         685182 ┊     17.86% ┊   ⤷ elem[0]
         552947 ┊     14.41% ┊       ⤷ code[1976]
         552660 ┊     14.41% ┊           ⤷ code[1980]
         187430 ┊      4.89% ┊               ⤷ code[2564]
          90592 ┊      2.36% ┊                   ⤷ code[8526]
           3226 ┊      0.08% ┊                       ⤷ code[7669]
           2873 ┊      0.07% ┊                           ⤷ code[7671]
            956 ┊      0.02% ┊                               ⤷ code[7674]
            271 ┊      0.01% ┊                                   ⤷ code[7677]
            269 ┊      0.01% ┊                               ⤷ code[7672]
            142 ┊      0.00% ┊                               ⤷ code[7676]
            139 ┊      0.00% ┊                               ⤷ code[7675]
            126 ┊      0.00% ┊                               ⤷ code[7673]
           3187 ┊      0.08% ┊                       ⤷ code[7646]
           2815 ┊      0.07% ┊                           ⤷ code[7648]
            269 ┊      0.01% ┊                               ⤷ code[7650]
            268 ┊      0.01% ┊                               ⤷ code[7651]
            142 ┊      0.00% ┊                               ⤷ code[7654]
            139 ┊      0.00% ┊                               ⤷ code[7655]
            126 ┊      0.00% ┊                               ⤷ code[7653]
             19 ┊      0.00% ┊                           ⤷ code[7649]
           3088 ┊      0.08% ┊                       ⤷ code[5100]
            622 ┊      0.02% ┊                           ⤷ code[5101]
            459 ┊      0.01% ┊                               ⤷ code[5104]
            520 ┊      0.01% ┊                           ⤷ code[5018]
            518 ┊      0.01% ┊                           ⤷ code[5021]
            452 ┊      0.01% ┊                           ⤷ code[5020]
            222 ┊      0.01% ┊                           ⤷ code[5017]
           3040 ┊      0.08% ┊                       ⤷ code[5047]
            633 ┊      0.02% ┊                           ⤷ code[5048]
            470 ┊      0.01% ┊                               ⤷ code[5049]
            529 ┊      0.01% ┊                           ⤷ code[4938]
            525 ┊      0.01% ┊                           ⤷ code[4941]
            463 ┊      0.01% ┊                           ⤷ code[4940]
            221 ┊      0.01% ┊                           ⤷ code[4937]
           3034 ┊      0.08% ┊                       ⤷ code[5091]
            617 ┊      0.02% ┊                           ⤷ code[5092]
            454 ┊      0.01% ┊                               ⤷ code[5093]
            526 ┊      0.01% ┊                           ⤷ code[5008]
            525 ┊      0.01% ┊                           ⤷ code[5004]
