Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00015640514249681521,685188,17.861154462851303
elem[0],1529,0.039857243812938405,685182,17.860998057708805
code[1976],287,0.00748137931609766,552947,14.413959054697745
code[1980],34118,0.8893717752843903,552660,14.406477675381648
code[1606],41209,1.0742165861918764,346861,9.041807355264636
code[2564],19991,0.5211158672756387,187430,4.885835976363012
code[2203],727,0.01895108976586411,150287,3.9176099417364774
code[2247],11052,0.2880982724791336,144387,3.763811551614609
code[1751],1295,0.03375744325556261,138228,3.603261672841629
"export ""canister_update icydb_integrity""",35,0.000912363331231422,134840,3.5149449023784274
code[9187],9,0.00023460771374522282,134805,3.514032539047195
code[3039],4715,0.12290837447874728,134796,3.51379793133345
code[1985],4072,0.10614695670783858,128864,3.3591653804515986
code[2253],14693,0.38301012645095095,125858,3.280806404060695
code[7982],1037,0.02703202212819956,124616,3.248430539563854
code[7986],13494,0.35175516547533736,122636,3.1968168425399046
code[2490],9493,0.2474590029537111,105457,2.749002852047773
"export ""canister_update icydb_ddl""",29,0.0007559581887346068,103458,2.6968938720725846
code[9186],9,0.00023460771374522282,103429,2.69613791388385
code[2922],43503,1.1340154856731586,103420,2.6959033061701048
"export ""canister_update icydb_update""",32,0.0008341607599830145,97263,2.535405562444623
code[9189],9,0.00023460771374522282,97231,2.53457140168464
code[3047],14120,0.36807343534250514,97222,2.5343367939708945
code[8526],44852,1.1691805752111926,90592,2.361509111511914
"export ""canister_query icydb_schema""",31,0.0008080932362335452,83141,2.1672799920546186
code[9183],9,0.00023460771374522282,83110,2.1664718988183855
code[2915],1901,0.049554362647740956,83101,2.16623729110464
code[2662],56605,1.475552181838704,81200,2.1166829284568993
"export ""canister_update measure_identity_closeout_perf""",50,0.00130337618747346,61527,1.6038565337335915
code[9190],9,0.00023460771374522282,61477,1.602553157546118
code[3097],441,0.011495777973515918,61468,1.6023185498323729
code[2100],15174,0.39554860537444564,61027,1.5908227718588568
code[7914],510,0.013294437112229291,53390,1.3917450929841606
code[7915],1327,0.03459160401554563,52880,1.3784506558719312
code[19],98,0.0025546173274479814,46856,1.2214198928051287
code[2200],8207,0.2139361674118937,46758,1.2188652754776808
code[1115],27776,0.7240515396652565,46578,1.2141731212027764
code[1635],11032,0.28757692200414425,45376,1.1828399576559143
code[1463],14816,0.38621643187213567,44251,1.1535139934377614
code[2607],12109,0.3156516450823225,39817,1.0379305931326153
