 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────
         56605 ┊     1.48% ┊ code[2662]
         44852 ┊     1.17% ┊ code[8526]
         43503 ┊     1.13% ┊ code[2922]
         41209 ┊     1.07% ┊ code[1606]
         35998 ┊     0.94% ┊ data[151]
         34118 ┊     0.89% ┊ code[1980]
         27776 ┊     0.72% ┊ code[1115]
         24117 ┊     0.63% ┊ code[8524]
         22012 ┊     0.57% ┊ code[264]
         19991 ┊     0.52% ┊ code[2564]
         19307 ┊     0.50% ┊ code[1892]
         19300 ┊     0.50% ┊ code[3998]
         19136 ┊     0.50% ┊ code[2047]
         17859 ┊     0.47% ┊ data[0]
         17471 ┊     0.46% ┊ data[143]
         17034 ┊     0.44% ┊ code[2546]
         15985 ┊     0.42% ┊ code[6835]
         15933 ┊     0.42% ┊ code[2925]
         15668 ┊     0.41% ┊ code[1038]
         15174 ┊     0.40% ┊ code[2100]
         15137 ┊     0.39% ┊ code[3339]
         14872 ┊     0.39% ┊ code[2452]
         14816 ┊     0.39% ┊ code[1463]
         14693 ┊     0.38% ┊ code[2253]
         14165 ┊     0.37% ┊ code[1107]
         14120 ┊     0.37% ┊ code[3047]
         13494 ┊     0.35% ┊ code[7986]
         13381 ┊     0.35% ┊ code[159]
         13243 ┊     0.35% ┊ code[2871]
         13031 ┊     0.34% ┊ code[2536]
         12853 ┊     0.34% ┊ code[5976]
         12566 ┊     0.33% ┊ code[2537]
         12330 ┊     0.32% ┊ code[2223]
         12109 ┊     0.32% ┊ code[2607]
         12002 ┊     0.31% ┊ code[2821]
         11421 ┊     0.30% ┊ code[7766]
         11337 ┊     0.30% ┊ code[7926]
         11052 ┊     0.29% ┊ code[2247]
         11032 ┊     0.29% ┊ code[1635]
         10493 ┊     0.27% ┊ code[2380]
       3054996 ┊    79.64% ┊ ... and 9763 more.
       3836191 ┊   100.00% ┊ Σ [9803 Total Rows]
