 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────
         52703 ┊     1.85% ┊ code[6357]
         42069 ┊     1.48% ┊ code[1333]
         41318 ┊     1.45% ┊ code[1033]
         36018 ┊     1.27% ┊ data[71]
         28739 ┊     1.01% ┊ code[693]
         25188 ┊     0.88% ┊ code[6355]
         22958 ┊     0.81% ┊ code[1697]
         20168 ┊     0.71% ┊ code[1947]
         19337 ┊     0.68% ┊ code[1289]
         19279 ┊     0.68% ┊ code[2591]
         17399 ┊     0.61% ┊ data[63]
         17021 ┊     0.60% ┊ code[1679]
         15961 ┊     0.56% ┊ code[5189]
         15805 ┊     0.56% ┊ code[582]
         14904 ┊     0.52% ┊ data[0]
         14621 ┊     0.51% ┊ code[685]
         14151 ┊     0.50% ┊ code[1416]
         13337 ┊     0.47% ┊ code[6529]
         13016 ┊     0.46% ┊ code[1668]
         12853 ┊     0.45% ┊ code[4378]
         12516 ┊     0.44% ┊ code[1669]
         12106 ┊     0.43% ┊ code[589]
         12096 ┊     0.42% ┊ code[1745]
         12028 ┊     0.42% ┊ code[483]
         11317 ┊     0.40% ┊ code[6479]
         11011 ┊     0.39% ┊ code[1068]
         10990 ┊     0.39% ┊ code[5275]
         10213 ┊     0.36% ┊ code[630]
          9849 ┊     0.35% ┊ code[4117]
          9646 ┊     0.34% ┊ code[1589]
          9446 ┊     0.33% ┊ code[1393]
          9242 ┊     0.32% ┊ code[1053]
          9018 ┊     0.32% ┊ code[5683]
          8819 ┊     0.31% ┊ code[1396]
          8360 ┊     0.29% ┊ code[1771]
          8290 ┊     0.29% ┊ code[1474]
          7689 ┊     0.27% ┊ data[34]
          7648 ┊     0.27% ┊ code[525]
          7569 ┊     0.27% ┊ data[19]
          7276 ┊     0.26% ┊ code[3643]
       2195187 ┊    77.10% ┊ ... and 7528 more.
       2847161 ┊   100.00% ┊ Σ [7568 Total Rows]
