 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────────────────────────────────────────────────
         957843 ┊     33.44% ┊ table[0]
         957837 ┊     33.44% ┊   ⤷ elem[0]
         844638 ┊     29.49% ┊       ⤷ code[1321]
         844333 ┊     29.47% ┊           ⤷ code[1325]
          49664 ┊      1.73% ┊               ⤷ code[793]
           5218 ┊      0.18% ┊                   ⤷ code[874]
           2935 ┊      0.10% ┊                       ⤷ code[4592]
           2773 ┊      0.10% ┊                           ⤷ code[4593]
           1612 ┊      0.06% ┊                               ⤷ code[4596]
             29 ┊      0.00% ┊                               ⤷ code[4597]
            691 ┊      0.02% ┊                       ⤷ code[4588]
           3355 ┊      0.12% ┊                   ⤷ code[943]
            671 ┊      0.02% ┊                       ⤷ code[3944]
            508 ┊      0.02% ┊                           ⤷ code[3945]
            641 ┊      0.02% ┊                       ⤷ code[3891]
            640 ┊      0.02% ┊                       ⤷ code[3888]
            501 ┊      0.02% ┊                       ⤷ code[3890]
            222 ┊      0.01% ┊                       ⤷ code[3887]
           3334 ┊      0.12% ┊                   ⤷ code[935]
            670 ┊      0.02% ┊                       ⤷ code[3921]
            507 ┊      0.02% ┊                           ⤷ code[3922]
            632 ┊      0.02% ┊                       ⤷ code[3857]
            631 ┊      0.02% ┊                       ⤷ code[3860]
            500 ┊      0.02% ┊                       ⤷ code[3859]
            222 ┊      0.01% ┊                       ⤷ code[3856]
           2712 ┊      0.09% ┊                   ⤷ code[903]
            478 ┊      0.02% ┊                       ⤷ code[5516]
            300 ┊      0.01% ┊                       ⤷ code[5510]
            210 ┊      0.01% ┊                       ⤷ code[5515]
             83 ┊      0.00% ┊                       ⤷ code[5509]
           1106 ┊      0.04% ┊                   ⤷ code[902]
            972 ┊      0.03% ┊                   ⤷ code[858]
            648 ┊      0.02% ┊                   ⤷ code[872]
            499 ┊      0.02% ┊                   ⤷ code[880]
            492 ┊      0.02% ┊                   ⤷ code[886]
            480 ┊      0.02% ┊                   ⤷ code[898]
             19 ┊      0.00% ┊                       ⤷ code[5532]
            461 ┊      0.02% ┊                   ⤷ code[900]
            461 ┊      0.02% ┊                   ⤷ code[5934]
            212 ┊      0.01% ┊                   ⤷ code[930]
            199 ┊      0.01% ┊                   ⤷ code[933]
            168 ┊      0.01% ┊                   ⤷ code[871]
            142 ┊      0.00% ┊                   ⤷ code[906]
            132 ┊      0.00% ┊                   ⤷ code[897]
            132 ┊      0.00% ┊                   ⤷ code[932]
            115 ┊      0.00% ┊                   ⤷ code[901]
            103 ┊      0.00% ┊                   ⤷ code[923]
             91 ┊      0.00% ┊                   ⤷ code[905]
             86 ┊      0.00% ┊                   ⤷ code[927]
             79 ┊      0.00% ┊                   ⤷ code[378]
             75 ┊      0.00% ┊                   ⤷ code[336]
             73 ┊      0.00% ┊                   ⤷ code[899]
             69 ┊      0.00% ┊                   ⤷ code[437]
             67 ┊      0.00% ┊                   ⤷ code[315]
             65 ┊      0.00% ┊                   ⤷ code[302]
             60 ┊      0.00% ┊                   ⤷ code[5506]
             59 ┊      0.00% ┊                   ⤷ code[4]
             58 ┊      0.00% ┊                   ⤷ code[4590]
             51 ┊      0.00% ┊                   ⤷ code[461]
             43 ┊      0.00% ┊                   ⤷ code[460]
             42 ┊      0.00% ┊                   ⤷ code[907]
             40 ┊      0.00% ┊                   ⤷ code[438]
             40 ┊      0.00% ┊                   ⤷ code[875]
             36 ┊      0.00% ┊                   ⤷ code[4591]
             31 ┊      0.00% ┊                   ⤷ code[474]
             31 ┊      0.00% ┊                   ⤷ code[884]
             31 ┊      0.00% ┊                   ⤷ code[920]
             20 ┊      0.00% ┊                   ⤷ code[228]
             18 ┊      0.00% ┊                   ⤷ code[866]
             16 ┊      0.00% ┊                   ⤷ code[929]
             15 ┊      0.00% ┊                   ⤷ code[439]
             14 ┊      0.00% ┊                   ⤷ code[864]
             14 ┊      0.00% ┊                   ⤷ code[869]
             13 ┊      0.00% ┊                   ⤷ code[867]
             12 ┊      0.00% ┊                   ⤷ code[925]
             12 ┊      0.00% ┊                   ⤷ code[928]
          45534 ┊      1.59% ┊               ⤷ code[670]
          29657 ┊      1.04% ┊                   ⤷ code[685]
           4223 ┊      0.15% ┊                       ⤷ code[790]
           2055 ┊      0.07% ┊                           ⤷ code[3552]
            991 ┊      0.03% ┊                           ⤷ code[6479]
            535 ┊      0.02% ┊                           ⤷ code[6481]
            159 ┊      0.01% ┊                           ⤷ code[6480]
           2793 ┊      0.10% ┊                       ⤷ code[796]
            195 ┊      0.01% ┊                           ⤷ code[1701]
            107 ┊      0.00% ┊                           ⤷ code[603]
             68 ┊      0.00% ┊                           ⤷ code[1700]
             10 ┊      0.00% ┊                           ⤷ code[1703]
             10 ┊      0.00% ┊                           ⤷ code[1704]
           1798 ┊      0.06% ┊                       ⤷ code[828]
             12 ┊      0.00% ┊                           ⤷ type[84]: (i32, i32, i32, i32, i64, i32, i32, i32, i32) -> nil
           1317 ┊      0.05% ┊                       ⤷ code[3419]
            902 ┊      0.03% ┊                       ⤷ code[787]
             25 ┊      0.00% ┊                           ⤷ code[6482]
            473 ┊      0.02% ┊                       ⤷ code[788]
            356 ┊      0.01% ┊                           ⤷ code[3424]
            369 ┊      0.01% ┊                       ⤷ code[827]
            281 ┊      0.01% ┊                       ⤷ code[3420]
             95 ┊      0.00% ┊                           ⤷ code[3421]
            260 ┊      0.01% ┊                       ⤷ code[845]
            246 ┊      0.01% ┊                       ⤷ code[3423]
            203 ┊      0.01% ┊                       ⤷ code[3422]
