Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00020945223005534776,957843,33.437058732150746
elem[0],1167,0.040738458745765135,957837,33.436849279920686
code[1321],285,0.009948980927629018,844638,29.48521878158147
code[1325],64456,2.2500754900745825,844333,29.474571626553654
code[1499],9573,0.3341810330533073,658229,22.97792198951692
code[1327],25638,0.894989379026501,357823,12.491137552515783
code[1502],11810,0.4122718061589428,164409,5.739305281861611
code[1401],1294,0.04517186428193666,142657,4.9799711305009575
code[1442],3908,0.13642321917604983,133520,4.661010292831672
code[6844],1037,0.036200327094565936,129436,4.518443141573999
code[6847],13976,0.4878840612089233,127454,4.449254088245715
code[1716],9655,0.3370435468640638,105240,3.6737921151707993
code[1146],13979,0.48798878732395107,81394,2.841359135520829
code[6265],510,0.01780343955470456,54244,1.8935877945203805
code[6266],1326,0.04628894284223185,53734,1.875784354965676
code[1501],3673,0.12821967349888205,50046,1.7470410508916556
code[793],27462,0.9586628569633268,49664,1.7337059255781317
code[1171],11275,0.3935956489790077,46700,1.6302365239307899
code[670],2306,0.08049947375127199,45534,1.589532973890034
code[1938],12106,0.4226047828416733,39806,1.3895759115971955
data[80],36010,1.2570624673821786,36010,1.2570624673821786
code[556],1308,0.04566058615206581,35941,1.2546537667365423
code[1804],17010,0.5937970722069108,35725,1.2471134864545497
code[2427],72,0.002513426760664173,34633,1.2089931805844765
code[2428],15204,0.5307519509602512,34561,1.2064797538238123
code[1824],25203,0.8798040923474881,33373,1.1650082122728536
code[6277],11008,0.3842750247415447,32705,1.1416891973266914
code[566],12040,0.4203008083110644,32295,1.1273766282729092
code[6566],597,0.020840496890507102,31015,1.0826934858611017
code[685],16162,0.5641944903590884,29657,1.0352874644585748
code[4478],4106,0.14333514276787632,28770,1.0043234431153925
code[6855],1495,0.05218851398879081,28634,0.9995758592341379
code[1528],14091,0.4918985622849842,28616,0.9989475025439719
code[1536],2117,0.07390172850452853,26332,0.919216020302903
code[3070],19292,0.6734587370379614,25966,0.9064394342695267
code[732],10218,0.3566971477842572,22991,0.8025860368670834
code[555],6939,0.24223150405900967,22982,0.8022718585220002
code[1796],12535,0.4375806172906307,22626,0.7898443595387163
code[5640],10659,0.37209188669332527,22387,0.7815011790415117
code[1795],331,0.011554781358053351,21935,0.7657224443773422
