 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────
         66439 ┊     2.09% ┊ code[1443]
         37108 ┊     1.17% ┊ code[1148]
         36006 ┊     1.13% ┊ data[63]
         28033 ┊     0.88% ┊ code[800]
         27772 ┊     0.87% ┊ code[6403]
         25849 ┊     0.81% ┊ code[1607]
         25519 ┊     0.80% ┊ code[1652]
         25186 ┊     0.79% ┊ code[2100]
         19337 ┊     0.61% ┊ code[1388]
         19279 ┊     0.61% ┊ code[3071]
         17391 ┊     0.55% ┊ data[55]
         17338 ┊     0.55% ┊ data[0]
         17021 ┊     0.54% ┊ code[2080]
         15798 ┊     0.50% ┊ code[690]
         14623 ┊     0.46% ┊ code[792]
         13473 ┊     0.42% ┊ code[5629]
         13055 ┊     0.41% ┊ code[2139]
         13016 ┊     0.41% ┊ code[2071]
         12853 ┊     0.40% ┊ code[4843]
         12516 ┊     0.39% ┊ code[2072]
         12260 ┊     0.39% ┊ code[1611]
         12106 ┊     0.38% ┊ code[697]
         12096 ┊     0.38% ┊ code[2237]
         12032 ┊     0.38% ┊ code[591]
         11855 ┊     0.37% ┊ code[1484]
         11538 ┊     0.36% ┊ code[6266]
         11317 ┊     0.36% ┊ code[6614]
         11011 ┊     0.35% ┊ code[1184]
         10295 ┊     0.32% ┊ code[2461]
         10213 ┊     0.32% ┊ code[738]
          9646 ┊     0.30% ┊ code[1990]
          9487 ┊     0.30% ┊ code[1655]
          9242 ┊     0.29% ┊ code[1169]
          9018 ┊     0.28% ┊ code[6351]
          8948 ┊     0.28% ┊ code[5750]
          8667 ┊     0.27% ┊ code[1723]
          8360 ┊     0.26% ┊ code[2263]
          7689 ┊     0.24% ┊ data[26]
          7648 ┊     0.24% ┊ code[632]
          7525 ┊     0.24% ┊ data[10]
       2521267 ┊    79.29% ┊ ... and 8492 more.
       3179832 ┊   100.00% ┊ Σ [8532 Total Rows]
