 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────
        1006158 ┊     50.05% ┊ table[0]
        1006152 ┊     50.05% ┊   ⤷ elem[0]
         889090 ┊     44.23% ┊       ⤷ code[1037]
         888785 ┊     44.21% ┊           ⤷ code[1041]
          49033 ┊      2.44% ┊               ⤷ code[679]
           3357 ┊      0.17% ┊                   ⤷ code[830]
            672 ┊      0.03% ┊                       ⤷ code[2780]
            509 ┊      0.03% ┊                           ⤷ code[2781]
            641 ┊      0.03% ┊                       ⤷ code[2730]
            640 ┊      0.03% ┊                       ⤷ code[2727]
            502 ┊      0.02% ┊                       ⤷ code[2729]
            222 ┊      0.01% ┊                       ⤷ code[2726]
           3336 ┊      0.17% ┊                   ⤷ code[822]
            671 ┊      0.03% ┊                       ⤷ code[2757]
            508 ┊      0.03% ┊                           ⤷ code[2758]
            632 ┊      0.03% ┊                       ⤷ code[2697]
            631 ┊      0.03% ┊                       ⤷ code[2700]
            501 ┊      0.02% ┊                       ⤷ code[2699]
            222 ┊      0.01% ┊                       ⤷ code[2696]
           2934 ┊      0.15% ┊                   ⤷ code[758]
           2773 ┊      0.14% ┊                       ⤷ code[3188]
           1612 ┊      0.08% ┊                           ⤷ code[3191]
             29 ┊      0.00% ┊                           ⤷ code[3192]
           2714 ┊      0.14% ┊                   ⤷ code[792]
            478 ┊      0.02% ┊                       ⤷ code[4027]
            300 ┊      0.01% ┊                       ⤷ code[4017]
            210 ┊      0.01% ┊                       ⤷ code[4026]
             83 ┊      0.00% ┊                       ⤷ code[4016]
           1105 ┊      0.05% ┊                   ⤷ code[791]
            972 ┊      0.05% ┊                   ⤷ code[743]
            690 ┊      0.03% ┊                   ⤷ code[763]
            648 ┊      0.03% ┊                   ⤷ code[757]
            498 ┊      0.02% ┊                   ⤷ code[771]
            491 ┊      0.02% ┊                   ⤷ code[775]
            482 ┊      0.02% ┊                   ⤷ code[787]
             19 ┊      0.00% ┊                       ⤷ code[4034]
            463 ┊      0.02% ┊                   ⤷ code[789]
            463 ┊      0.02% ┊                   ⤷ code[4251]
            212 ┊      0.01% ┊                   ⤷ code[818]
            168 ┊      0.01% ┊                   ⤷ code[756]
            142 ┊      0.01% ┊                   ⤷ code[795]
            132 ┊      0.01% ┊                   ⤷ code[786]
            132 ┊      0.01% ┊                   ⤷ code[820]
             90 ┊      0.00% ┊                   ⤷ code[794]
             86 ┊      0.00% ┊                   ⤷ code[815]
             79 ┊      0.00% ┊                   ⤷ code[374]
             74 ┊      0.00% ┊                   ⤷ code[357]
             73 ┊      0.00% ┊                   ⤷ code[788]
             71 ┊      0.00% ┊                   ⤷ code[772]
             69 ┊      0.00% ┊                   ⤷ code[406]
             67 ┊      0.00% ┊                   ⤷ code[349]
             65 ┊      0.00% ┊                   ⤷ code[343]
             60 ┊      0.00% ┊                   ⤷ code[4013]
             59 ┊      0.00% ┊                   ⤷ code[6]
             57 ┊      0.00% ┊                   ⤷ code[3186]
             50 ┊      0.00% ┊                   ⤷ code[427]
             43 ┊      0.00% ┊                   ⤷ code[426]
             42 ┊      0.00% ┊                   ⤷ code[796]
             40 ┊      0.00% ┊                   ⤷ code[409]
             40 ┊      0.00% ┊                   ⤷ code[766]
             36 ┊      0.00% ┊                   ⤷ code[3187]
             31 ┊      0.00% ┊                   ⤷ code[441]
             31 ┊      0.00% ┊                   ⤷ code[765]
             31 ┊      0.00% ┊                   ⤷ code[773]
             31 ┊      0.00% ┊                   ⤷ code[809]
             20 ┊      0.00% ┊                   ⤷ code[313]
             18 ┊      0.00% ┊                   ⤷ code[752]
             16 ┊      0.00% ┊                   ⤷ code[817]
             15 ┊      0.00% ┊                   ⤷ code[410]
             14 ┊      0.00% ┊                   ⤷ code[749]
             14 ┊      0.00% ┊                   ⤷ code[755]
             13 ┊      0.00% ┊                   ⤷ code[407]
             13 ┊      0.00% ┊                   ⤷ code[753]
             12 ┊      0.00% ┊                   ⤷ code[813]
             12 ┊      0.00% ┊                   ⤷ code[816]
          45491 ┊      2.26% ┊               ⤷ code[476]
           8673 ┊      0.43% ┊                   ⤷ code[539]
           1928 ┊      0.10% ┊                       ⤷ code[4338]
           1672 ┊      0.08% ┊                           ⤷ code[4339]
            301 ┊      0.01% ┊                               ⤷ code[4340]
            131 ┊      0.01% ┊                               ⤷ code[4341]
            127 ┊      0.01% ┊                               ⤷ code[4342]
            301 ┊      0.01% ┊                       ⤷ code[4090]
             45 ┊      0.00% ┊                       ⤷ code[4470]
             14 ┊      0.00% ┊                       ⤷ code[4468]
             11 ┊      0.00% ┊                       ⤷ code[4091]
           3460 ┊      0.17% ┊                   ⤷ code[3022]
            640 ┊      0.03% ┊                       ⤷ code[2664]
             75 ┊      0.00% ┊                           ⤷ code[2665]
             77 ┊      0.00% ┊                       ⤷ code[2668]
             68 ┊      0.00% ┊                       ⤷ code[2667]
             41 ┊      0.00% ┊                       ⤷ code[2663]
           2604 ┊      0.13% ┊                   ⤷ code[533]
            329 ┊      0.02% ┊                       ⤷ code[4512]
           2531 ┊      0.13% ┊                   ⤷ code[513]
            144 ┊      0.01% ┊                       ⤷ code[1485]
             16 ┊      0.00% ┊                       ⤷ type[69]: (i32, i32, i32, i32, i32, i64, i32, i32, i32, i32, i32, i32, i32) -> nil
             11 ┊      0.00% ┊                       ⤷ code[4497]
             11 ┊      0.00% ┊                       ⤷ code[4498]
           2489 ┊      0.12% ┊                   ⤷ code[4481]
           1455 ┊      0.07% ┊                       ⤷ code[2669]
            217 ┊      0.01% ┊                           ⤷ code[4793]
             79 ┊      0.00% ┊                           ⤷ code[2671]
             79 ┊      0.00% ┊                           ⤷ code[2673]
             69 ┊      0.00% ┊                           ⤷ code[2674]
             12 ┊      0.00% ┊                           ⤷ code[2672]
            172 ┊      0.01% ┊                       ⤷ code[2675]
           2164 ┊      0.11% ┊                   ⤷ code[522]
            213 ┊      0.01% ┊                       ⤷ code[3145]
            137 ┊      0.01% ┊                       ⤷ code[3139]
             84 ┊      0.00% ┊                       ⤷ code[3144]
             18 ┊      0.00% ┊                       ⤷ code[3143]
             18 ┊      0.00% ┊                       ⤷ code[3146]
             13 ┊      0.00% ┊                       ⤷ code[3138]
             13 ┊      0.00% ┊                       ⤷ code[3140]
           1649 ┊      0.08% ┊                   ⤷ code[4479]
           1417 ┊      0.07% ┊                   ⤷ code[3016]
            105 ┊      0.01% ┊                       ⤷ code[3015]
             93 ┊      0.00% ┊                       ⤷ code[3017]
             87 ┊      0.00% ┊                       ⤷ code[3018]
           1125 ┊      0.06% ┊                   ⤷ code[4474]
            813 ┊      0.04% ┊                   ⤷ code[4206]
             19 ┊      0.00% ┊                       ⤷ code[4207]
            720 ┊      0.04% ┊                   ⤷ code[518]
             63 ┊      0.00% ┊                       ⤷ code[3141]
            693 ┊      0.03% ┊                   ⤷ code[511]
            125 ┊      0.01% ┊                       ⤷ code[1484]
            621 ┊      0.03% ┊                   ⤷ code[501]
            583 ┊      0.03% ┊                   ⤷ code[514]
             72 ┊      0.00% ┊                       ⤷ code[4499]
             14 ┊      0.00% ┊                           ⤷ code[4484]
            448 ┊      0.02% ┊                   ⤷ code[4475]
            108 ┊      0.01% ┊                       ⤷ code[4478]
             35 ┊      0.00% ┊                       ⤷ code[4097]
            309 ┊      0.02% ┊                   ⤷ code[506]
            305 ┊      0.02% ┊                   ⤷ code[521]
            304 ┊      0.02% ┊                   ⤷ code[530]
            169 ┊      0.01% ┊                   ⤷ code[508]
            164 ┊      0.01% ┊                   ⤷ code[507]
            158 ┊      0.01% ┊                   ⤷ code[4476]
            154 ┊      0.01% ┊                   ⤷ code[512]
            146 ┊      0.01% ┊                   ⤷ code[1057]
            142 ┊      0.01% ┊                   ⤷ code[4477]
            136 ┊      0.01% ┊                   ⤷ code[3019]
            133 ┊      0.01% ┊                   ⤷ code[520]
            101 ┊      0.01% ┊                   ⤷ code[545]
             13 ┊      0.00% ┊                       ⤷ code[4473]
             95 ┊      0.00% ┊                   ⤷ code[561]
             92 ┊      0.00% ┊                   ⤷ code[540]
             86 ┊      0.00% ┊                   ⤷ code[3027]
             85 ┊      0.00% ┊                   ⤷ code[525]
             84 ┊      0.00% ┊                   ⤷ code[371]
             83 ┊      0.00% ┊                   ⤷ code[532]
             74 ┊      0.00% ┊                   ⤷ code[538]
             73 ┊      0.00% ┊                   ⤷ code[372]
             42 ┊      0.00% ┊                       ⤷ code[4500]
             51 ┊      0.00% ┊                   ⤷ code[541]
             42 ┊      0.00% ┊                   ⤷ code[4205]
             39 ┊      0.00% ┊                   ⤷ code[3150]
             37 ┊      0.00% ┊                   ⤷ code[399]
          98155 ┊      4.88% ┊ [107 Unreachable Items]
